feature_1,feature_2,class
-1.141,0.107,0
0.946,1.042,0
1.147,0.629,0
0.991,0.393,0
1.658,-0.195,1
0.647,-0.436,1
-0.397,-0.358,1
0.889,-0.401,1
1.472,-0.201,1
1.204,0.586,0
-1.118,0.615,0
1.123,0.342,0
0.944,0.169,0
2.007,-0.568,1
0.49,1.108,0
-1.164,0.627,0
-0.871,1.229,0
1.192,-0.347,1
1.049,0.353,1
-0.697,0.53,0
0.666,-0.611,1
0.615,0.279,0
-0.585,0.34,0
1.563,0.344,0
0.402,-0.312,0
-0.732,-0.196,0
0.6,-0.3,1
0.589,-0.439,1
1.699,-0.282,1
-0.561,1.515,0
-0.575,0.321,0
1.748,1.067,1
1.835,-0.263,1
1.324,0.139,0
2.238,-0.792,1
0.374,0.195,1
-0.233,0.65,0
1.24,-0.898,1
1.137,0.66,1
0.564,0.723,0
2.278,0.023,1
-0.423,-0.483,1
0.642,0.23,0
0.269,0.252,1
-0.579,0.008,0
-0.92,0.271,1
1.907,0.118,1
1.183,-1.07,1
-0.874,-0.952,0
1.201,0.47,0
2.043,-0.347,1
-0.883,0.46,0
0.364,-0.049,1
-1.131,-0.178,0
2.363,-0.355,1
0.998,-0.076,1
1.806,0.539,1
1.03,-0.656,1
0.88,-1.254,1
1.834,-0.717,1
0.703,-0.12,0
1.361,0.425,0
0.631,-0.532,1
0.092,-0.034,0
-0.369,0.502,0
-0.103,-0.39,1
-0.424,0.806,0
-0.877,0.969,0
-0.911,-0.062,0
-0.594,1.812,0
-0.409,0.626,0
0.738,0.785,0
1.935,-0.108,1
2.325,-0.113,1
1.19,0.698,0
-0.922,0.897,0
2.151,-0.98,1
-0.428,1.187,0
0.755,0.139,0
0.087,1.3,0
1.748,0.452,1
0.706,0.137,1
-0.286,0.17,0
-0.43,1.648,0
1.123,0.216,1
0.588,0.471,0
0.254,0.442,1
1.852,0.194,1
1.946,-0.074,1
-0.018,1.159,0
1.967,0.861,1
-0.719,-0.213,1
1.687,-0.999,1
-0.244,0.507,0
-0.176,1.12,0
1.827,-1.031,1
0.257,1.22,0
0.136,1.158,0
0.868,-1.423,1
0.604,0.107,0
-1.015,0.614,0
-1.02,0.864,0
1.237,0.843,0
1.937,-0.325,1
1.156,-0.499,1
-0.307,-0.036,1
-0.38,0.529,0
-0.12,0.938,0
1.137,0.508,0
0.634,-0.28,1
-0.005,0.214,1
1.768,-0.153,1
1.313,0.7,0
0.32,-0.381,1
1.313,-0.235,1
1.044,0.106,1
0.348,0.554,0
-0.77,-0.337,0
2.083,0.634,1
0.355,0.89,0
2.162,0.577,1
1.247,0.126,0
-0.227,0.633,0
-0.131,0.52,0
2.3,-0.342,1
1.303,0.265,1
-0.195,0.297,1
1.191,-0.272,1
-0.799,0.368,0
-0.264,0.531,0
-1.315,-0.43,0
0.069,0.138,1
1.084,0.251,1
1.754,-0.292,1
0.618,-0.498,1
1.803,-0.365,1
0.869,-0.156,0
1.216,-0.45,1
-0.641,0.539,0
0.553,0.325,0
-0.614,0.701,1
1.489,-0.11,1
1.461,-0.958,1
0.324,0.311,0
0.339,0.1,1
0.84,0.951,0
-1.256,-0.214,0
0.537,-0.967,1
0.545,0.966,0
-0.792,0.206,0
-0.638,1.192,0
-0.509,0.246,0
2.374,0.147,1
-0.152,0.922,0
-0.275,0.053,0
-0.63,0.135,0
0.462,0.911,0
0.23,0.523,0
1.54,0.064,1
-0.496,0.575,0
-0.465,0.933,0
-0.095,0.222,0
0.222,0.027,0
1.59,-0.072,1
-0.172,0.759,1
-0.352,-0.061,1
0.381,0.489,0
0.095,-0.025,1
-0.148,-0.205,1
1.108,-0.81,1
0.909,0.912,0
1.087,0.395,0
0.913,-0.307,1
1.566,-0.555,1
-0.242,0.051,1
1.06,0.108,1
1.402,-1.38,1
2.499,0.656,1
-0.661,-0.092,0
-1.115,-0.008,0
-0.555,-0.114,1
0.456,0.759,1
1.179,-0.331,1
1.051,0.293,0
0.267,-0.819,1
0.286,0.716,0
-0.485,0.887,0
-0.255,0.937,1
0.815,-0.587,1
1.795,-0.327,0
0.351,0.039,1
1.049,-1.053,1
-0.017,0.822,1
0.943,-0.888,1
1.077,0.471,0
0.234,1.414,0
0.571,-1.077,1
-0.535,0.663,0
0.659,0.882,0
2.037,0.19,1
-0.248,0.969,0
2.142,-0.401,1
0.641,0.03,1
0.182,-0.466,1
2.002,0.517,1
0.904,0.152,0
-0.894,-0.064,1
1.324,-1.059,1
-0.724,1.706,0
0.306,-0.037,0
0.832,-0.288,1
1.159,0.328,0
0.746,-0.542,1
-0.167,0.789,0
-2.146,-0.295,0
2.005,0.326,1
-1.491,0.99,0
-0.73,1.135,0
0.395,1.505,0
1.807,0.197,1
-1.295,0.342,0
-0.646,1.576,0
1.194,0.049,1
-0.039,0.251,1
0.021,-0.339,1
-0.176,-0.324,1
-0.269,1.057,0
-0.589,0.879,0
-0.393,0.994,0
0.419,0.069,0
-1.071,0.129,0
0.668,0.279,0
0.361,0.498,0
-0.755,0.076,0
2.202,-0.038,1
-0.306,0.57,0
-0.22,-0.499,1
0.319,1.191,0
1.1,0.653,0
0.247,-0.407,1
-0.194,1.411,0
1.499,-0.646,1
2.168,-0.305,1
-0.078,1.502,0
2.528,-0.188,1
1.71,-0.01,1
0.846,-0.707,1
0.174,0.872,0
-0.07,0.877,0
2.343,0.143,1
1.144,0.734,0
-0.249,-0.232,1
-0.574,0.599,0
0.462,0.42,1
0.058,-0.071,1
-0.319,0.839,0
0.617,0.097,0
2.276,0.924,1
0.39,0.803,1
-1.056,1.037,0
0.915,-0.132,1
1.986,-0.544,1
-0.16,1.252,0
1.432,0.328,1
-0.647,0.861,0
-0.723,1.277,0
0.368,1.062,0
2.243,0.304,1
0.937,-0.584,1
1.004,-0.76,1
-1.006,0.346,0
1.275,-0.314,1
1.525,-1.022,1
0.878,1.411,0
1.149,-0.536,1
-1.256,0.626,0
0.92,-0.035,1
1.047,-0.091,1
1.536,-0.323,0
2.862,0.298,1
3.005,-0.162,1
1.822,-0.36,1
2.318,0.029,1
-0.208,0.426,0
0.606,-0.979,1
0.362,-0.393,1
0.089,0.703,0
1.139,0.052,1
0.938,-0.124,0
-0.038,0.703,1
0.709,1.607,0
0.892,0.433,0
-1.518,0.654,0
1.109,-0.218,1
0.44,-0.63,1
-0.606,0.165,0
0.857,-0.223,1
-0.44,1.074,0
0.385,0.241,1
-0.685,0.416,0
1.169,1.244,0
0.018,1.255,0
0.783,-0.005,1
-0.641,0.9,0
-0.341,0.102,0
1.781,-0.759,1
-0.985,-0.235,0
0.43,0.543,0
0.787,0.142,0
2.425,0.627,1
-0.129,-0.023,1
0.651,-0.096,1
0.041,0.912,0
0.334,-1.242,1
1.392,0.621,0
-0.645,-0.294,0
0.063,1.131,0
0.238,0.303,0
-0.061,-0.277,1
0.233,0.402,1
1.398,-0.159,1
0.689,-0.077,1
-0.988,0.378,0
1.708,-0.484,1
-0.327,0.923,0
1.593,-0.462,1
0.17,0.141,0
0.935,-0.451,1
2.159,-0.359,1
-1.132,1.214,0
1.224,0.94,0
1.24,-0.079,1
0.063,-0.529,1
-0.867,0.322,0
-0.15,1.089,0
0.661,-0.195,1
2.071,-0.171,1
2.12,-0.289,1
0.665,0.422,0
0.797,0.064,0
1.392,-0.136,1
1.153,-0.774,1
-0.478,0.886,0
1.096,0.421,1
2.486,-0.322,1
1.661,0.296,1
0.884,0.321,0
0.907,-0.884,1
1.748,-0.203,1
0.889,-0.282,0
0.502,-0.372,1
-1.114,0.861,0
1.14,0.617,0
2.109,0.765,1
0.716,-0.852,1
0.975,0.144,1
0.709,0.152,0
1.772,0.597,1
-1.026,-0.333,0
1.348,-0.426,1
-0.246,1.108,1
0.849,0.346,0
0.42,0.779,1
0.384,-0.039,1
0.038,-0.351,1
0.924,-0.642,0
0.299,-0.8,1
0.336,0.733,0
1.904,0.547,1
-0.309,1.703,0
0.993,-1.506,1
2.009,0.296,1
0.583,0.954,0
-0.04,-0.656,1
0.139,0.375,1
0.491,0.906,0
1.01,0.054,1
-2.119,0.196,0
-0.166,0.409,1
2.098,-0.866,1
0.488,-1.075,1
1.052,-0.255,1
1.647,-0.47,1
0.998,-0.416,0
1.199,0.283,1
-1.067,0.65,0
0.994,0.799,0
1.037,-0.233,0
2.119,0.266,1
-0.372,0.9,0
0.052,1.85,0
0.108,-0.346,1
0.544,-0.103,1
1.986,0.055,1
0.448,0.659,0
-1.666,0.602,0
