credit_score,income,existing_loans,age,loan_amount,employment_years,default
3.01,0.588,0.451,-1.17,0.809,-3.282,0.0
2.417,-0.288,-0.255,0.371,1.005,-1.788,0.0
-2.875,1.199,0.978,0.847,-0.741,1.439,0.0
0.55,0.215,-0.28,-0.27,2.406,-2.31,1.0
-1.14,-0.575,1.648,4.908,-0.096,1.935,1.0
-2.57,1.024,-1.613,-1.346,1.826,-3.377,1.0
1.651,0.447,-0.776,-1.701,-1.458,0.066,0.0
-1.041,-1.865,0.911,2.386,0.728,-0.14,1.0
-0.591,0.367,0.134,1.398,-0.435,-1.777,0.0
-0.296,0.76,2.102,1.434,-0.781,-2.308,0.0
1.164,1.425,-0.6,1.353,-2.903,-3.083,0.0
1.266,-0.029,1.756,0.554,-1.134,-0.973,0.0
-1.435,1.321,0.068,1.274,-0.44,-0.327,0.0
-2.247,0.024,-1.174,-1.678,2.051,-1.532,1.0
-0.423,1.991,-0.018,-0.933,-1.842,-1.127,1.0
1.102,1.815,-0.01,-2.58,-1.398,-1.325,0.0
-1.19,0.943,-0.582,1.882,-0.169,-1.482,0.0
1.452,0.282,-1.457,-0.162,-0.643,-1.043,0.0
0.261,0.932,-0.326,1.065,-1.13,-1.22,0.0
-2.988,1.608,0.935,-2.642,-1.099,-2.878,1.0
-0.269,2.833,-0.436,-2.184,-2.4,-2.126,0.0
0.816,1.435,-0.817,1.626,-0.872,-1.137,0.0
-0.726,0.958,2.171,1.331,-2.756,-1.16,0.0
-0.034,1.932,0.17,1.215,-1.841,-0.786,0.0
-3.021,0.026,-1.102,3.64,2.089,-0.181,1.0
1.584,0.886,1.077,-2.381,-1.661,-0.102,0.0
1.552,0.003,-0.466,-1.39,-1.584,1.0,0.0
2.502,-2.22,0.496,-2.893,1.995,-0.612,1.0
1.845,0.749,-0.295,-2.084,-0.248,-0.305,0.0
-1.66,0.491,-0.699,0.32,-1.478,-1.227,0.0
-0.716,2.748,-0.804,-0.765,-2.442,-3.028,0.0
0.332,-4.201,-0.6,0.509,0.908,-0.514,1.0
0.588,-3.011,-0.444,0.803,2.219,-2.253,1.0
-0.501,-0.712,0.299,-0.928,0.491,-0.514,1.0
0.219,-0.259,-1.131,1.062,1.333,-0.958,1.0
-0.171,-2.204,-0.189,-1.636,3.258,-0.671,1.0
2.655,-1.431,0.33,0.701,0.276,0.203,0.0
-1.709,0.168,1.445,-3.553,2.315,0.662,1.0
2.166,-0.159,-0.252,-0.908,-1.057,-0.382,0.0
1.378,-0.928,0.948,0.471,-1.856,1.198,0.0
-3.717,2.132,-0.219,-0.867,-0.042,-1.418,1.0
0.811,1.565,1.248,-2.196,-1.506,-0.629,0.0
1.867,0.906,-0.403,1.206,-2.676,-4.148,0.0
2.394,0.598,-1.209,-0.746,1.112,-2.526,0.0
1.065,1.301,-0.916,-0.565,-0.514,-2.436,0.0
0.019,1.925,0.183,-1.249,-1.326,-1.254,0.0
1.691,2.328,1.755,1.01,-2.562,-1.363,0.0
-2.247,0.933,1.417,0.835,0.024,0.628,0.0
-1.396,1.021,0.458,0.908,-0.587,-0.382,0.0
0.107,0.609,-0.496,1.659,-0.822,-1.832,0.0
0.909,0.34,-0.145,0.721,0.058,-1.177,0.0
-0.639,1.254,-0.323,1.225,-1.685,-1.269,0.0
1.164,0.822,0.728,-0.783,-0.51,-1.032,0.0
2.458,-1.643,-1.655,-1.109,2.253,-3.228,1.0
-1.819,1.668,2.288,1.038,-0.959,0.496,0.0
0.036,1.045,-0.911,-1.589,-1.752,1.483,0.0
0.285,1.682,0.651,1.24,-1.356,-1.031,0.0
-1.787,0.772,0.932,0.681,-1.537,-1.444,0.0
-4.059,0.128,-0.209,1.658,1.719,1.527,0.0
-1.04,-2.216,0.51,-1.607,2.28,-0.719,1.0
2.113,2.606,-1.605,1.231,-2.696,-2.285,0.0
2.19,0.372,0.799,-1.038,-0.506,-1.528,0.0
-2.45,-0.215,1.386,0.543,0.179,-0.81,0.0
-3.948,1.186,-0.694,-2.69,0.262,0.111,1.0
-0.298,-1.297,0.113,-1.728,2.426,-1.498,1.0
-1.161,0.163,0.492,0.4,-2.613,-1.769,0.0
-0.702,0.996,1.347,0.57,-2.381,-1.646,0.0
-0.757,-1.354,2.131,0.207,1.05,-0.598,1.0
-0.275,2.14,-2.06,0.287,-1.894,-3.607,0.0
-1.314,3.881,1.59,-1.357,-2.029,-3.941,0.0
-1.114,1.479,0.252,1.496,-0.814,-0.499,0.0
-1.245,1.792,-1.073,0.492,-1.154,-0.888,0.0
-1.694,-1.879,-0.657,1.444,1.257,-0.865,1.0
-0.454,1.728,-1.792,1.706,-2.106,-2.251,0.0
0.982,2.159,0.638,-1.58,-0.327,-3.146,0.0
1.232,1.44,-1.054,-1.445,-0.965,-2.056,0.0
-1.699,0.631,0.661,0.51,-1.907,-0.929,0.0
2.185,1.298,0.037,-2.459,0.687,-1.703,0.0
0.993,0.389,0.374,-0.765,-0.712,0.446,0.0
-3.234,0.734,0.826,0.39,0.069,1.281,0.0
1.107,-0.874,-0.721,1.279,-0.731,0.761,0.0
1.659,0.477,-0.435,-1.178,-1.029,-0.674,0.0
0.916,-1.181,0.939,3.002,0.464,0.972,1.0
2.474,-0.119,0.728,-0.308,0.558,-1.515,0.0
0.403,1.521,0.654,-0.839,-1.652,-1.615,0.0
-2.139,0.195,0.833,0.823,-0.151,-0.128,0.0
1.465,2.005,-1.259,-2.058,0.039,-2.927,0.0
-2.0,0.815,-2.002,0.907,-1.155,-1.518,0.0
-0.628,4.59,-0.759,2.682,2.951,-0.296,1.0
-3.391,0.37,0.923,0.737,-0.757,-0.163,0.0
-1.301,0.606,0.721,0.388,-2.073,-1.66,0.0
1.53,-4.832,-0.559,-0.476,3.685,-0.66,1.0
-0.887,-0.994,0.35,0.12,1.0,-2.87,1.0
2.204,-0.596,-0.367,0.082,0.923,-0.104,0.0
1.87,0.676,0.428,0.082,0.449,-3.033,0.0
-3.742,-0.212,-0.691,1.559,1.619,-0.02,0.0
-0.196,1.383,1.316,0.825,-2.22,-1.955,0.0
-3.49,1.687,0.354,1.276,0.174,0.313,0.0
1.589,1.223,0.097,-1.495,0.636,-1.658,0.0
0.739,2.018,0.792,1.263,-2.168,-1.756,0.0
1.279,0.169,0.539,-1.273,-1.118,1.073,0.0
-0.451,1.751,-1.119,2.544,0.425,0.17,0.0
-2.198,0.778,-0.362,1.259,-0.655,-0.419,0.0
1.58,0.254,0.582,-0.336,-0.236,-0.859,0.0
1.378,0.963,1.644,-0.18,-0.327,-2.666,0.0
-0.649,0.764,-1.698,0.424,-2.334,-3.189,0.0
0.602,0.765,-0.482,1.552,-0.335,-2.085,0.0
-3.985,0.624,0.495,0.784,0.247,-1.877,1.0
1.521,1.657,-0.735,-1.33,0.088,-3.116,0.0
-0.772,2.998,0.894,-2.809,-3.763,-1.049,0.0
1.053,1.616,0.47,-1.552,-1.187,-2.063,0.0
-1.179,0.516,0.793,1.368,-1.861,-2.875,0.0
1.444,1.779,-0.475,-2.715,-0.873,-1.584,0.0
-1.571,0.516,-0.323,1.113,0.038,0.077,0.0
-2.221,0.36,-0.025,0.601,-1.109,-0.809,0.0
-1.225,-1.307,1.047,1.809,-0.248,-0.166,1.0
-3.825,-0.082,-0.617,1.391,1.254,0.788,0.0
0.928,0.999,0.953,-0.595,-0.5,-1.285,0.0
-0.216,0.558,-2.203,0.558,1.401,-1.449,1.0
0.541,1.718,0.386,-1.807,-1.105,-0.898,0.0
-0.603,1.281,1.105,1.291,-0.221,-0.742,0.0
2.374,-0.026,-0.057,-1.205,-0.249,-0.502,0.0
-0.204,1.533,0.578,0.995,-2.279,-1.834,0.0
0.376,1.855,-1.771,-2.58,-2.282,-0.174,1.0
2.14,-0.143,0.326,-0.56,0.378,-0.447,0.0
0.137,1.55,-0.533,1.446,1.382,-0.632,1.0
-0.068,1.906,0.022,-2.057,-2.668,-0.242,0.0
-0.679,2.531,-0.419,0.391,0.817,-1.21,1.0
-1.29,-1.592,-1.233,0.79,3.738,-1.27,1.0
-0.935,1.242,0.013,1.178,-2.1,-2.28,0.0
2.235,1.861,-1.194,0.073,-4.235,-1.734,0.0
2.595,0.631,-1.056,-2.451,0.823,-0.711,0.0
-1.355,1.874,0.514,-0.987,-0.755,-3.045,1.0
0.489,-2.005,0.311,0.106,2.219,-1.694,1.0
-1.223,0.773,1.032,0.82,-0.963,-0.764,0.0
1.091,0.18,-0.911,0.906,0.205,-1.314,0.0
-1.657,1.46,0.701,-0.161,-1.957,-0.183,0.0
1.186,2.031,1.617,1.387,-1.637,-1.533,0.0
-3.849,1.383,-0.778,-2.048,0.764,0.709,1.0
0.139,-1.766,1.61,-0.952,2.69,0.173,1.0
-3.441,0.054,0.329,0.85,0.22,0.308,0.0
-4.211,-0.043,-1.064,0.122,0.137,1.006,0.0
-2.078,-0.522,0.87,-0.596,1.295,-0.831,1.0
-0.616,1.69,-2.479,1.227,-1.179,-0.827,0.0
-0.182,2.027,0.417,-1.607,-3.048,-1.127,0.0
1.362,-0.113,-0.539,-0.225,0.06,0.512,0.0
-2.235,0.231,-0.909,1.15,0.298,-0.624,0.0
0.24,0.43,0.305,0.458,-1.727,-1.918,0.0
-0.818,2.242,-0.621,-1.234,-3.608,-1.07,0.0
-0.463,1.432,-0.029,-0.984,-0.662,-1.374,1.0
-1.163,0.584,-0.278,-0.131,-2.255,-1.171,0.0
1.866,0.515,0.358,-0.734,-0.719,-1.752,0.0
0.028,1.891,-0.572,-1.377,-2.447,-1.324,0.0
-5.117,-0.099,0.012,1.626,2.364,1.051,0.0
2.422,0.462,1.16,-0.857,1.328,-2.01,0.0
0.846,0.387,-0.4,-0.987,-2.008,0.693,0.0
0.502,1.659,-0.027,2.2,-1.569,-3.282,0.0
0.136,1.294,-0.211,-0.522,-2.897,-0.779,0.0
0.839,1.347,-0.05,-0.988,-0.79,-1.56,0.0
-1.543,1.649,-1.215,-0.053,-2.14,-0.946,0.0
-2.287,0.658,0.144,1.27,0.742,-0.252,0.0
1.624,0.132,-0.305,0.03,-0.093,-1.119,0.0
1.821,1.984,-0.103,0.991,-2.087,-0.803,0.0
-2.26,1.208,-1.138,0.407,-0.794,0.528,0.0
-0.938,-0.045,-0.41,1.19,0.505,-0.406,0.0
1.349,0.641,-1.483,-1.095,-0.895,-0.565,0.0
0.653,1.6,-0.577,-1.91,-1.316,-0.715,0.0
2.291,-1.469,0.175,1.342,0.364,0.182,0.0
0.192,0.882,-2.21,-0.682,-1.939,0.266,0.0
-2.363,-0.075,-1.075,1.085,-0.098,-0.391,0.0
2.005,0.785,-0.681,-1.727,-0.412,-1.267,0.0
0.624,1.809,-0.149,-1.861,-2.045,-1.539,0.0
0.956,0.905,-1.297,0.035,-0.404,-1.949,0.0
-1.448,1.733,0.546,0.585,0.626,-1.386,1.0
0.345,1.106,1.393,-0.127,-0.387,-1.028,0.0
1.741,-0.138,0.367,2.688,0.517,0.835,1.0
1.261,0.559,-1.311,-1.215,-0.531,0.13,0.0
-3.365,0.261,1.306,2.806,2.106,-0.878,1.0
-1.74,0.505,1.046,1.77,1.687,0.487,0.0
1.63,1.253,-0.741,-2.015,-0.783,-1.487,0.0
-0.744,0.777,-0.955,1.154,-0.972,-1.851,0.0
1.258,-0.995,-2.13,-0.089,1.165,-1.81,1.0
0.87,2.1,0.127,0.829,-3.36,-2.885,0.0
-1.787,-0.257,0.741,0.364,-0.166,-1.71,0.0
2.55,-0.142,-0.805,-1.516,0.576,0.163,0.0
-1.439,1.272,0.286,1.276,-0.671,-1.064,0.0
1.516,1.321,1.639,1.839,-1.839,-3.124,0.0
-1.736,0.764,-0.742,-1.033,0.098,-2.954,1.0
-2.661,-0.318,-0.365,1.2,1.079,0.915,0.0
-2.79,0.335,-0.037,1.004,-0.381,0.115,0.0
0.293,1.838,-0.003,-0.313,-3.424,-1.229,0.0
2.027,-0.301,0.95,-1.445,-1.156,1.042,0.0
2.506,-1.31,-1.326,0.759,0.012,0.03,0.0
1.597,3.308,-0.125,-0.545,2.165,-1.944,1.0
-2.362,0.944,-0.553,1.583,1.612,1.51,0.0
-2.302,0.763,0.209,2.27,0.734,-0.039,1.0
-4.101,-0.906,-0.015,1.526,2.399,0.452,0.0
1.713,-0.164,2.313,-1.167,-1.756,0.754,0.0
1.345,0.621,-2.487,-1.814,-1.824,0.256,0.0
-0.304,1.777,-0.118,0.742,-1.528,-1.06,0.0
1.999,1.587,1.592,2.289,-1.362,-1.642,0.0
-0.02,1.713,-0.175,0.058,-2.564,-0.649,0.0
0.551,-1.56,-0.31,-2.044,-0.241,-1.575,1.0
0.899,0.138,-1.516,0.225,-1.253,-0.235,0.0
2.401,0.268,1.314,-0.968,0.437,-1.513,0.0
1.078,0.283,-1.78,-0.492,-1.039,0.093,0.0
-3.13,0.451,-0.465,5.746,-0.699,2.698,1.0
-2.994,-0.728,-0.639,0.412,0.883,0.393,0.0
-1.532,0.095,-2.109,1.352,0.492,-1.184,0.0
1.448,0.221,-0.288,-0.112,-0.169,-0.835,0.0
-0.711,0.847,-0.462,0.441,-2.157,-1.182,0.0
-1.588,0.685,0.42,0.032,-1.546,-0.466,0.0
-1.919,1.126,-1.34,1.322,-0.762,-0.815,0.0
-0.49,0.453,0.644,0.569,-1.715,-1.449,0.0
-0.184,2.277,-0.14,-1.25,-1.065,-1.737,0.0
-2.573,0.076,0.457,1.467,1.163,-0.068,0.0
-2.158,0.937,0.137,0.107,-0.21,2.199,0.0
0.497,0.066,0.261,0.833,-1.842,-1.872,0.0
1.738,0.281,-0.771,-0.795,-0.135,-0.594,0.0
-0.858,-2.056,1.019,-3.318,3.118,-0.531,1.0
-2.191,1.161,-0.214,0.721,-0.677,0.825,0.0
-0.864,2.982,1.904,-2.609,-3.086,-0.907,0.0
-1.813,-1.832,2.673,0.591,1.838,-0.541,1.0
-2.886,1.115,-1.079,1.045,-0.019,-0.101,0.0
0.101,2.292,-0.004,-1.507,-1.446,-2.111,0.0
1.584,1.347,1.15,-2.59,-0.658,-0.787,0.0
-0.602,3.495,-0.324,-0.131,2.046,-2.156,1.0
-0.346,0.704,-0.366,0.018,-3.314,0.48,0.0
0.731,0.635,0.761,0.262,-0.483,-1.089,0.0
-0.853,1.626,0.256,0.966,-0.876,-0.12,0.0
-0.218,2.709,0.58,-1.788,-2.008,-2.362,0.0
-0.77,1.517,1.595,0.52,-1.702,-1.727,0.0
0.598,1.901,-1.718,0.682,-2.578,-1.68,0.0
-5.336,-1.02,-0.966,1.599,3.634,2.488,0.0
0.779,0.829,-0.038,3.132,1.252,0.693,1.0
-2.276,-0.089,0.267,1.076,0.434,0.298,0.0
-0.418,-3.921,0.706,0.137,4.058,-0.79,1.0
1.483,0.325,0.388,0.368,0.567,-1.649,0.0
-3.134,0.839,-0.393,-1.084,1.473,1.637,1.0
-1.484,1.693,0.424,-0.585,0.374,-1.816,1.0
0.338,1.098,-0.008,1.188,-1.505,-0.917,0.0
-0.082,2.149,0.27,-1.357,-2.098,-1.729,0.0
-3.149,0.101,-0.337,0.907,0.226,-0.934,0.0
-0.058,2.879,0.022,-2.573,-2.189,-2.085,0.0
1.412,2.24,-1.39,1.757,-1.712,-1.842,0.0
-0.551,2.643,-0.08,-1.612,-1.634,-1.633,0.0
1.614,2.021,1.044,-2.208,3.094,-3.716,1.0
0.085,0.698,1.433,1.365,-1.112,-2.385,0.0
2.514,0.391,-0.728,-1.416,0.086,-1.556,0.0
2.279,0.26,0.152,-1.131,-0.489,-1.257,0.0
1.587,0.589,-0.155,-0.184,-0.144,-2.012,0.0
0.935,1.239,-0.251,-0.424,-0.75,-2.271,0.0
-0.24,2.569,-1.304,-1.701,-2.073,-2.07,0.0
1.22,0.915,-0.149,-0.973,-0.174,-1.016,0.0
1.322,0.342,2.277,0.001,-0.304,-1.097,0.0
1.173,1.621,0.172,0.747,-3.04,-3.592,0.0
-1.303,3.697,-0.25,-1.477,-1.972,-3.265,0.0
-0.167,1.288,-1.836,1.551,-0.581,-1.787,0.0
1.431,1.494,-0.606,-1.106,0.362,-2.728,0.0
1.91,1.298,0.82,-0.743,1.65,-3.339,0.0
-2.617,0.686,0.562,-0.264,1.232,-2.185,1.0
0.476,1.656,0.541,-0.653,-1.263,-2.276,0.0
0.534,1.012,-0.69,0.249,0.955,-1.064,1.0
-2.612,0.867,1.398,0.266,-1.182,-0.46,0.0
-1.694,1.689,-0.225,2.011,0.796,1.044,0.0
-4.749,-0.467,0.916,0.32,1.391,1.952,0.0
-1.477,1.188,-1.263,0.789,-0.668,-0.04,0.0
0.549,-0.381,0.54,5.14,2.161,1.612,1.0
0.324,1.155,2.925,0.46,-2.433,-2.366,0.0
-2.351,0.179,0.232,1.246,0.23,-1.393,0.0
-0.061,-3.694,-0.295,1.809,1.599,-0.94,1.0
0.32,1.653,1.224,0.123,-2.489,-1.593,0.0
-1.35,0.682,-2.107,1.707,-0.239,-1.205,0.0
-0.596,-2.455,-1.006,-2.018,2.161,0.877,1.0
1.031,0.661,-0.02,-0.081,-1.163,-1.495,0.0
2.106,0.595,-0.415,-0.757,0.233,-2.158,0.0
-1.142,1.003,0.683,1.136,-1.193,-1.942,0.0
-0.391,0.742,1.176,2.166,1.241,-0.05,0.0
-1.176,1.127,1.42,1.105,-1.516,-2.637,0.0
0.408,2.473,0.143,-2.399,-1.231,-1.946,0.0
-0.44,2.147,1.214,-1.52,-1.855,-0.676,0.0
-3.018,-0.482,-1.022,4.307,0.092,1.528,1.0
0.429,0.992,0.215,-0.828,-2.409,-0.436,0.0
1.53,1.179,-0.074,-0.981,0.108,-2.305,0.0
0.117,3.184,-0.502,-3.066,-1.16,-2.291,0.0
1.862,0.857,0.244,0.064,-3.76,-3.287,0.0
0.004,1.016,1.341,-0.34,-1.7,-0.136,0.0
0.686,1.506,0.474,1.348,-2.341,-2.661,0.0
-0.541,1.498,-0.156,0.566,-2.46,-1.322,0.0
0.685,2.017,-0.5,-2.0,-2.174,-2.062,0.0
1.237,1.999,-0.247,-2.566,-0.626,-1.882,0.0
-2.861,-1.06,-0.4,2.484,1.32,-2.566,1.0
0.722,1.148,0.635,1.606,-1.205,-1.19,0.0
0.244,0.442,-0.33,0.939,-1.649,-1.132,0.0
0.634,0.963,-0.182,1.165,-0.054,-0.062,1.0
-1.974,0.545,-0.522,1.294,0.803,0.707,0.0
0.972,1.803,-0.561,-3.218,-2.659,-0.452,0.0
-1.133,1.516,0.798,0.457,-0.839,1.128,0.0
3.25,0.287,-1.788,-2.061,0.974,-1.615,0.0
-0.294,0.259,-0.537,1.514,-0.259,-1.312,0.0
-4.776,-0.211,0.506,1.101,-1.005,-0.908,1.0
-0.115,2.495,-0.884,-2.415,-2.475,-1.199,0.0
-0.267,0.157,-1.942,-0.985,1.43,-4.103,1.0
-0.692,-0.203,-0.055,-0.35,-2.353,-1.961,0.0
-3.531,-0.778,-0.174,1.034,1.178,-0.333,0.0
-0.593,3.286,-0.31,0.625,3.528,-2.222,1.0
-2.187,-0.428,-0.769,1.312,1.179,-0.088,0.0
2.263,0.796,0.477,-1.105,0.9,-2.356,0.0
-0.503,1.958,-0.962,1.075,-0.334,0.901,0.0
0.709,1.345,-0.679,2.131,-0.82,-3.299,0.0
-1.301,3.084,-0.218,-0.146,3.169,-2.666,1.0
0.546,-1.477,-0.817,-2.383,0.323,-2.197,1.0
-0.377,1.642,0.503,0.958,-1.761,-1.86,0.0
2.604,1.756,0.085,1.002,-3.47,-3.597,0.0
-0.313,1.226,0.23,2.161,-0.023,-1.953,0.0
-2.027,1.228,-0.425,0.114,-1.682,0.908,0.0
1.75,0.416,2.297,-0.787,-0.192,-0.999,0.0
1.663,-0.5,0.764,-0.188,-1.218,0.547,0.0
-0.964,0.963,0.802,0.473,-1.726,-2.007,0.0
-1.754,0.444,-0.961,1.71,0.42,-0.918,0.0
-1.808,0.799,0.436,0.87,-0.647,-0.8,0.0
-4.627,0.816,-1.15,0.507,-0.344,-1.487,1.0
-0.693,0.954,-0.175,1.368,-1.688,-2.134,0.0
-1.362,-1.422,-0.545,0.01,0.842,-1.596,1.0
-0.906,1.36,-1.012,0.186,-1.739,0.045,0.0
0.1,0.59,-1.848,0.098,-1.882,-0.936,0.0
-3.863,2.071,1.396,-2.778,1.524,0.8,1.0
0.573,1.044,0.563,-0.007,-0.442,-1.517,0.0
1.401,-0.719,1.824,0.31,-1.693,0.855,0.0
-0.098,2.755,2.166,-1.959,-2.37,-2.581,0.0
0.942,1.483,-0.857,0.088,-3.557,-2.558,0.0
-0.117,2.782,-1.596,1.861,2.09,-0.514,1.0
-1.644,1.017,0.98,2.012,-0.71,-1.858,0.0
0.069,2.281,0.682,-1.633,-1.657,-1.89,0.0
-0.584,1.506,0.441,1.004,-1.508,-0.34,0.0
-0.211,1.013,1.144,0.603,-1.701,-0.385,0.0
-1.387,0.63,-0.845,2.783,0.808,0.346,1.0
-2.55,0.556,-0.818,0.972,0.358,1.423,0.0
-2.675,2.819,0.669,-1.216,-0.579,-1.0,1.0
0.455,0.932,-2.175,0.353,0.172,-1.292,0.0
1.042,1.142,-1.086,-1.344,-1.035,-1.001,0.0
-2.085,0.979,0.359,0.815,-0.345,-0.076,0.0
-0.698,1.404,-1.939,-0.054,-4.305,-0.894,0.0
2.247,0.131,-0.176,-1.735,0.596,0.326,0.0
0.332,1.598,0.482,2.511,1.074,-0.093,0.0
-1.737,1.51,-2.27,0.974,-1.032,-1.257,0.0
0.256,-2.547,-0.198,-0.147,1.073,-0.833,1.0
0.601,3.548,-1.207,-3.729,-1.725,-3.511,0.0
1.161,0.747,-0.228,-0.42,-1.129,-1.507,0.0
-1.158,2.19,0.261,-1.549,-3.481,0.272,0.0
-3.329,0.597,-0.972,1.662,1.348,0.637,0.0
0.727,0.85,0.038,-0.33,-0.877,-0.946,0.0
-0.218,1.765,0.176,-0.666,-1.089,-1.098,0.0
-0.944,-2.982,1.171,0.641,2.052,-0.69,1.0
-0.932,1.055,0.898,0.299,-1.203,-0.029,0.0
1.004,1.839,0.128,1.091,-1.826,-1.651,0.0
-0.658,1.422,0.664,0.817,-2.455,-2.922,0.0
0.154,2.229,0.165,-2.946,-1.848,-0.095,0.0
1.144,0.684,-0.295,-0.745,-1.542,-0.937,0.0
-1.548,1.164,0.922,1.078,-0.49,-0.695,0.0
0.165,1.462,-0.432,-0.916,-1.66,-0.866,0.0
-1.882,0.687,-0.524,0.843,-1.501,-1.732,0.0
-3.155,2.208,-0.832,0.284,0.319,-1.53,1.0
-1.873,1.717,1.048,1.325,-0.499,0.656,0.0
-0.659,2.68,-0.111,-1.133,-1.081,-2.075,0.0
-0.368,-0.101,-1.839,5.599,1.617,2.017,1.0
-1.769,1.114,1.102,-0.332,-2.6,-1.146,0.0
-0.174,1.122,0.557,1.002,-1.472,-1.016,0.0
-1.358,1.025,-0.966,1.631,-0.139,-1.257,0.0
0.716,2.079,-0.259,0.391,-3.778,-3.123,0.0
-0.698,2.509,0.343,-0.073,-1.825,-3.197,0.0
2.097,0.247,-0.419,-0.996,0.529,-0.761,0.0
-2.64,1.324,-0.937,0.819,-0.987,-1.188,0.0
-3.076,-0.959,0.55,1.789,-0.877,-0.135,1.0
1.834,0.045,0.649,0.671,0.889,-1.937,0.0
2.287,-2.98,0.811,-1.606,1.039,-2.642,1.0
0.919,1.586,-1.074,3.022,-0.289,-2.184,0.0
0.235,1.819,0.806,-1.293,-2.129,-1.558,0.0
-1.922,0.389,0.972,1.378,-0.14,-1.172,0.0
-2.997,0.757,-1.732,-0.65,-2.442,-1.169,0.0
-2.168,-1.424,0.81,0.99,-0.191,-1.703,1.0
-0.939,1.649,0.182,0.633,-1.344,-0.371,0.0
-2.408,-0.523,-0.792,0.961,-0.278,-1.828,0.0
2.408,-3.581,0.437,-3.868,3.082,-0.92,1.0
1.331,1.699,-0.394,-1.692,0.307,-2.282,0.0
-1.297,0.988,-0.959,0.97,-1.678,-1.232,0.0
0.672,2.514,0.325,-2.135,-1.738,-3.065,0.0
0.113,-1.908,-0.591,-1.693,-0.286,0.19,1.0
0.88,2.463,0.904,-3.555,-1.168,-1.172,0.0
-2.792,0.817,-0.735,1.643,0.098,-1.462,0.0
