recorded_income,credit_score,existing_loans,age,loan_amount,gender,default
60.9,544.0,0,29.0,289.0,1,1
55.6,738.0,1,57.0,329.0,1,0
28.2,638.0,0,37.0,500.0,0,0
31.1,623.0,1,34.0,265.0,1,0
6.9,496.0,0,43.0,225.0,0,0
48.8,630.0,0,40.0,166.0,1,0
26.6,604.0,1,25.0,286.0,1,0
10.6,657.0,0,50.0,181.0,1,1
63.8,554.0,0,40.0,312.0,1,0
34.8,469.0,1,38.0,263.0,0,0
22.9,625.0,1,41.0,500.0,1,0
15.2,613.0,2,29.0,517.0,0,1
37.1,622.0,0,35.0,505.0,0,1
26.8,691.0,0,42.0,265.0,1,1
59.4,515.0,1,44.0,474.0,1,1
34.5,386.0,0,32.0,191.0,0,1
48.0,643.0,0,39.0,117.0,1,0
32.2,637.0,1,37.0,151.0,0,0
42.9,557.0,1,47.0,414.0,1,0
37.2,615.0,2,41.0,500.0,0,1
23.2,506.0,0,41.0,410.0,0,0
28.9,410.0,4,45.0,364.0,0,1
35.9,448.0,2,42.0,303.0,0,1
33.9,604.0,1,25.0,251.0,0,1
22.1,724.0,0,59.0,241.0,1,1
32.5,565.0,1,35.0,237.0,1,0
30.7,673.0,0,37.0,388.0,0,0
23.7,547.0,1,38.0,224.0,0,1
46.6,595.0,0,24.0,284.0,0,1
34.1,672.0,2,32.0,514.0,1,0
37.6,612.0,0,42.0,251.0,1,0
36.1,551.0,1,37.0,314.0,0,1
45.0,522.0,0,36.0,350.0,1,0
26.5,592.0,1,42.0,367.0,0,1
20.1,706.0,1,29.0,285.0,0,0
44.5,459.0,1,32.0,267.0,1,0
38.9,677.0,1,55.0,400.0,0,0
47.2,626.0,0,31.0,253.0,1,0
28.3,513.0,0,35.0,396.0,1,0
66.1,598.0,2,28.0,352.0,1,0
18.3,582.0,1,51.0,339.0,1,1
16.3,515.0,0,41.0,169.0,1,1
54.4,551.0,0,45.0,167.0,1,0
30.4,487.0,1,35.0,180.0,0,0
31.8,414.0,2,37.0,300.0,1,1
23.5,614.0,1,37.0,379.0,1,1
52.4,694.0,1,30.0,441.0,0,0
29.2,747.0,2,21.0,281.0,0,0
48.0,500.0,4,51.0,329.0,1,1
31.3,793.0,0,47.0,250.0,0,0
32.6,737.0,1,51.0,218.0,0,0
48.1,728.0,1,24.0,114.0,1,0
51.0,529.0,1,38.0,247.0,1,0
24.1,549.0,3,41.0,403.0,0,1
35.6,426.0,2,44.0,368.0,1,1
9.7,617.0,1,51.0,361.0,0,0
19.8,565.0,1,38.0,381.0,0,1
44.1,615.0,0,55.0,334.0,1,0
39.0,525.0,0,21.0,421.0,0,0
34.3,661.0,1,43.0,369.0,0,0
24.4,631.0,1,28.0,357.0,0,0
21.1,497.0,2,44.0,214.0,1,1
5.0,596.0,3,54.0,209.0,1,1
40.1,626.0,1,32.0,147.0,0,0
31.2,781.0,4,52.0,416.0,1,1
23.3,609.0,2,39.0,386.0,0,1
29.4,515.0,1,57.0,376.0,0,1
13.2,572.0,1,45.0,258.0,0,1
24.3,597.0,0,34.0,267.0,0,0
49.2,588.0,1,39.0,411.0,0,0
47.6,434.0,1,31.0,317.0,1,1
31.8,570.0,1,45.0,403.0,0,1
16.3,538.0,0,31.0,370.0,1,1
51.6,577.0,1,34.0,339.0,0,0
18.7,791.0,0,21.0,167.0,1,0
68.8,525.0,3,29.0,316.0,1,0
8.3,729.0,1,30.0,316.0,1,0
61.1,704.0,2,50.0,480.0,1,1
64.3,662.0,3,46.0,308.0,1,0
19.3,600.0,1,42.0,418.0,0,1
46.3,659.0,0,40.0,268.0,1,0
48.2,560.0,1,47.0,57.0,1,0
27.8,551.0,0,38.0,269.0,1,0
18.3,533.0,3,54.0,402.0,1,1
14.2,625.0,0,42.0,182.0,0,0
48.1,581.0,0,33.0,306.0,1,0
38.7,578.0,0,46.0,320.0,1,1
22.1,728.0,2,38.0,406.0,0,1
38.2,537.0,0,49.0,328.0,0,0
47.6,666.0,1,52.0,125.0,1,0
20.1,553.0,3,22.0,155.0,0,1
15.4,457.0,3,38.0,419.0,0,1
33.5,472.0,1,46.0,213.0,0,0
22.4,556.0,1,22.0,287.0,0,1
41.5,657.0,0,35.0,352.0,1,0
63.6,658.0,1,30.0,486.0,1,0
33.3,578.0,1,46.0,428.0,0,0
18.9,656.0,2,28.0,450.0,0,1
42.4,607.0,0,37.0,106.0,1,0
18.0,576.0,1,26.0,276.0,0,0
64.1,677.0,0,51.0,166.0,1,0
31.6,707.0,1,42.0,292.0,1,0
43.1,691.0,0,36.0,344.0,1,1
44.6,572.0,0,23.0,359.0,1,1
29.7,651.0,1,39.0,356.0,0,0
7.4,408.0,1,45.0,491.0,0,1
12.8,618.0,0,38.0,357.0,0,1
33.2,632.0,0,40.0,269.0,1,0
31.4,614.0,2,41.0,418.0,0,1
37.9,580.0,3,21.0,164.0,1,1
25.6,717.0,0,26.0,274.0,1,0
19.8,592.0,0,28.0,524.0,1,1
23.8,587.0,0,44.0,448.0,0,0
33.0,578.0,1,40.0,205.0,1,0
33.4,693.0,1,31.0,569.0,0,1
24.6,574.0,1,24.0,228.0,0,1
49.0,525.0,1,45.0,381.0,1,1
21.8,590.0,2,36.0,533.0,0,1
36.2,754.0,0,21.0,267.0,1,0
34.8,573.0,4,25.0,20.0,1,0
19.8,655.0,2,58.0,396.0,0,1
34.6,575.0,0,40.0,92.0,0,1
27.8,575.0,2,24.0,198.0,1,1
22.5,550.0,0,52.0,271.0,0,1
38.9,491.0,1,39.0,300.0,1,1
14.4,590.0,2,49.0,197.0,0,1
35.1,665.0,0,29.0,88.0,1,0
20.5,742.0,1,57.0,303.0,0,0
34.2,640.0,2,37.0,440.0,1,0
27.4,526.0,1,35.0,492.0,0,1
28.0,667.0,0,31.0,374.0,1,0
25.7,641.0,0,34.0,281.0,0,0
41.7,726.0,0,31.0,153.0,0,0
27.7,788.0,1,57.0,428.0,0,0
57.2,709.0,1,32.0,396.0,1,0
31.6,565.0,0,48.0,409.0,0,0
51.6,586.0,2,45.0,230.0,1,0
19.9,704.0,3,34.0,227.0,0,1
41.6,554.0,0,28.0,401.0,1,0
29.4,587.0,0,37.0,403.0,0,0
21.6,657.0,1,49.0,398.0,0,0
19.4,696.0,2,45.0,530.0,0,1
12.4,620.0,1,50.0,150.0,0,1
43.7,340.0,1,49.0,315.0,0,1
25.4,631.0,0,29.0,444.0,1,1
42.1,572.0,1,38.0,375.0,0,0
23.1,512.0,1,53.0,521.0,0,1
27.1,602.0,1,21.0,390.0,1,0
34.5,701.0,1,38.0,230.0,0,0
21.4,498.0,0,40.0,276.0,0,1
34.0,743.0,2,47.0,596.0,0,0
35.0,688.0,0,42.0,370.0,1,0
33.0,684.0,1,26.0,252.0,0,0
17.8,527.0,1,36.0,352.0,0,1
52.5,577.0,2,48.0,360.0,1,0
33.1,566.0,1,54.0,448.0,0,1
26.2,600.0,0,46.0,178.0,1,0
55.8,594.0,0,32.0,243.0,0,0
33.7,571.0,0,31.0,317.0,0,0
74.4,584.0,1,31.0,220.0,1,0
64.0,581.0,2,24.0,420.0,1,0
26.0,624.0,0,32.0,213.0,0,0
23.7,451.0,1,41.0,189.0,0,0
23.8,644.0,0,52.0,221.0,0,0
12.5,753.0,1,37.0,518.0,1,1
29.6,697.0,0,41.0,426.0,1,0
30.6,515.0,1,43.0,372.0,0,0
44.0,694.0,1,41.0,338.0,0,0
19.9,806.0,0,53.0,112.0,0,0
37.3,578.0,1,49.0,20.0,0,0
14.8,665.0,0,33.0,121.0,0,0
31.2,807.0,2,21.0,233.0,1,1
23.2,693.0,0,24.0,111.0,0,0
45.6,740.0,1,42.0,266.0,1,0
32.8,501.0,0,39.0,298.0,0,0
38.1,621.0,2,44.0,259.0,0,0
36.1,635.0,1,32.0,352.0,0,0
43.6,651.0,1,49.0,310.0,1,0
45.9,671.0,4,48.0,113.0,1,0
63.8,614.0,1,47.0,20.0,1,0
22.6,482.0,0,29.0,380.0,0,1
36.1,696.0,3,28.0,410.0,0,0
12.9,634.0,0,37.0,216.0,1,1
46.2,494.0,3,28.0,391.0,1,1
32.8,668.0,0,36.0,536.0,1,0
40.0,650.0,1,24.0,561.0,1,0
38.9,648.0,0,55.0,464.0,0,0
29.7,574.0,0,29.0,338.0,0,0
37.3,747.0,1,34.0,135.0,0,0
62.1,651.0,2,25.0,235.0,1,0
45.8,529.0,1,42.0,141.0,1,0
40.3,461.0,1,50.0,294.0,0,1
35.1,531.0,2,63.0,123.0,1,1
27.9,387.0,0,26.0,71.0,0,1
22.5,577.0,0,63.0,355.0,0,0
55.6,612.0,1,51.0,137.0,1,0
32.3,491.0,1,36.0,48.0,0,0
32.4,551.0,2,33.0,106.0,1,0
42.3,740.0,1,39.0,203.0,1,0
55.6,610.0,0,43.0,382.0,1,0
39.4,738.0,2,57.0,341.0,1,0
18.0,583.0,0,34.0,428.0,0,0
29.4,584.0,1,45.0,348.0,0,0
7.2,402.0,2,39.0,465.0,0,1
51.5,666.0,0,45.0,69.0,1,0
33.7,699.0,1,39.0,113.0,1,0
33.0,569.0,0,50.0,343.0,1,0
37.2,572.0,1,36.0,319.0,0,0
19.5,673.0,0,47.0,245.0,1,1
69.2,534.0,1,30.0,118.0,1,0
32.8,530.0,0,32.0,328.0,1,0
32.2,629.0,1,50.0,149.0,1,0
38.7,545.0,0,27.0,210.0,0,1
35.4,655.0,1,46.0,178.0,0,0
76.8,517.0,0,37.0,239.0,1,0
36.8,736.0,1,24.0,530.0,1,0
26.7,659.0,1,67.0,457.0,0,1
12.5,606.0,0,24.0,257.0,0,0
24.5,521.0,0,37.0,341.0,0,0
29.2,505.0,1,33.0,386.0,1,1
33.3,519.0,0,30.0,192.0,1,1
9.7,471.0,1,47.0,409.0,0,1
64.9,721.0,1,36.0,137.0,1,0
18.8,631.0,2,31.0,331.0,1,1
5.0,696.0,2,49.0,376.0,1,1
22.2,757.0,0,40.0,354.0,1,0
30.9,718.0,0,28.0,547.0,1,0
15.9,640.0,4,36.0,356.0,0,1
39.5,563.0,1,21.0,348.0,0,0
26.6,667.0,1,40.0,437.0,0,0
40.4,619.0,0,38.0,206.0,1,0
34.4,577.0,0,51.0,405.0,0,0
44.3,554.0,0,43.0,433.0,1,0
38.3,697.0,2,31.0,243.0,0,0
23.4,733.0,1,28.0,174.0,1,1
31.8,575.0,2,44.0,368.0,1,1
35.0,561.0,1,21.0,475.0,0,0
3.5,663.0,0,40.0,335.0,0,0
13.6,543.0,1,40.0,137.0,0,0
47.5,654.0,0,63.0,371.0,1,0
23.0,756.0,1,24.0,237.0,0,0
37.8,562.0,1,34.0,384.0,0,0
52.1,602.0,1,54.0,614.0,1,0
22.0,779.0,1,40.0,514.0,1,1
46.1,566.0,1,44.0,466.0,1,0
58.0,613.0,2,42.0,344.0,1,0
29.5,515.0,2,36.0,377.0,0,0
25.3,537.0,1,30.0,262.0,1,0
37.2,476.0,0,37.0,220.0,0,0
34.7,850.0,0,49.0,402.0,0,0
33.7,651.0,1,35.0,233.0,0,0
35.5,596.0,1,32.0,378.0,0,0
5.0,505.0,2,30.0,214.0,1,1
53.2,436.0,1,21.0,386.0,1,0
67.1,622.0,1,29.0,260.0,1,0
32.6,587.0,0,41.0,148.0,0,0
42.9,645.0,4,28.0,262.0,1,1
35.3,662.0,1,38.0,289.0,0,1
31.6,691.0,1,33.0,497.0,0,0
49.8,596.0,0,27.0,349.0,1,0
40.0,656.0,2,40.0,219.0,1,1
28.5,563.0,0,67.0,236.0,1,1
24.9,523.0,2,21.0,315.0,1,1
25.0,570.0,3,25.0,218.0,1,1
19.4,669.0,1,33.0,352.0,1,0
16.8,655.0,3,36.0,181.0,0,0
46.5,599.0,0,38.0,342.0,0,0
51.3,629.0,2,64.0,296.0,1,1
30.6,745.0,1,56.0,311.0,1,0
34.1,438.0,0,37.0,407.0,1,1
41.7,487.0,2,41.0,133.0,1,1
30.2,599.0,1,59.0,335.0,1,0
41.0,663.0,1,33.0,317.0,1,0
51.7,581.0,0,39.0,156.0,1,0
39.5,681.0,1,36.0,161.0,1,0
45.0,329.0,1,25.0,324.0,1,0
53.3,390.0,0,21.0,92.0,1,0
25.1,549.0,1,31.0,253.0,0,0
31.0,840.0,1,46.0,341.0,0,0
24.8,600.0,3,41.0,367.0,0,1
27.7,398.0,3,57.0,20.0,0,1
35.1,568.0,3,46.0,356.0,1,1
32.1,656.0,0,46.0,195.0,1,0
42.6,687.0,2,37.0,346.0,1,0
33.9,642.0,4,35.0,386.0,0,0
42.2,579.0,0,39.0,298.0,1,0
47.5,661.0,0,42.0,272.0,1,0
28.9,704.0,1,34.0,136.0,1,0
21.9,550.0,1,40.0,516.0,1,1
46.3,589.0,5,35.0,313.0,1,1
50.3,588.0,1,39.0,190.0,1,0
40.7,447.0,1,30.0,46.0,1,1
42.2,487.0,0,43.0,484.0,0,0
37.5,391.0,2,52.0,482.0,0,1
56.1,608.0,0,32.0,206.0,0,0
25.9,573.0,0,46.0,405.0,0,0
25.0,569.0,2,35.0,260.0,1,1
28.9,597.0,3,41.0,225.0,1,1
22.1,647.0,0,44.0,433.0,0,1
47.1,539.0,3,43.0,320.0,1,0
5.3,706.0,0,43.0,346.0,0,0
41.8,457.0,1,30.0,558.0,0,1
36.4,599.0,2,42.0,122.0,1,1
25.4,591.0,2,30.0,287.0,0,1
23.8,676.0,0,26.0,303.0,1,0
26.8,555.0,2,30.0,141.0,0,0
40.2,696.0,0,35.0,294.0,1,0
26.7,579.0,0,46.0,274.0,0,0
31.6,591.0,1,21.0,339.0,0,0
21.8,587.0,1,40.0,76.0,0,0
18.6,663.0,0,39.0,266.0,0,0
48.2,677.0,3,51.0,466.0,1,1
41.5,546.0,0,32.0,309.0,1,1
43.0,473.0,2,49.0,394.0,1,1
39.1,512.0,2,48.0,442.0,0,0
24.7,615.0,1,35.0,430.0,1,1
19.0,599.0,2,40.0,484.0,0,1
58.9,613.0,1,29.0,358.0,1,0
12.4,535.0,3,38.0,385.0,0,1
14.3,672.0,1,29.0,456.0,0,0
36.6,584.0,0,57.0,368.0,0,0
30.5,453.0,1,21.0,499.0,0,1
41.6,614.0,2,41.0,263.0,1,0
38.6,649.0,0,50.0,420.0,1,1
40.5,613.0,1,21.0,329.0,1,0
27.0,612.0,1,46.0,540.0,0,0
60.3,620.0,1,27.0,177.0,1,0
23.8,505.0,0,27.0,265.0,0,1
26.3,738.0,3,44.0,341.0,0,1
66.9,571.0,1,44.0,234.0,1,1
40.4,732.0,0,46.0,322.0,1,0
73.5,550.0,0,51.0,203.0,1,0
26.9,687.0,3,53.0,115.0,0,0
60.5,622.0,1,27.0,300.0,1,0
15.2,609.0,3,41.0,431.0,1,1
29.6,516.0,0,43.0,382.0,0,0
16.2,709.0,1,64.0,79.0,1,0
36.9,638.0,1,40.0,373.0,0,0
21.8,592.0,2,21.0,465.0,1,1
44.3,709.0,0,23.0,173.0,1,1
25.0,608.0,1,36.0,444.0,0,1
15.8,799.0,2,31.0,153.0,0,1
15.7,692.0,1,60.0,434.0,1,1
32.3,570.0,3,26.0,223.0,1,0
46.3,722.0,1,25.0,432.0,0,0
35.6,605.0,1,31.0,78.0,1,0
53.8,781.0,2,32.0,537.0,1,0
39.1,607.0,2,21.0,345.0,1,1
53.2,593.0,2,50.0,408.0,1,0
12.6,608.0,1,31.0,380.0,1,1
34.0,636.0,2,39.0,235.0,1,1
38.0,739.0,0,32.0,163.0,0,0
26.3,626.0,0,48.0,404.0,0,0
38.7,590.0,2,42.0,213.0,1,0
23.5,556.0,0,33.0,233.0,0,0
57.2,671.0,0,28.0,340.0,1,0
31.1,550.0,1,37.0,329.0,0,0
28.5,495.0,0,21.0,316.0,0,0
49.6,515.0,0,38.0,308.0,1,0
48.8,558.0,3,38.0,361.0,1,0
43.2,589.0,2,42.0,276.0,1,1
63.2,695.0,3,38.0,280.0,1,0
39.1,548.0,2,25.0,664.0,1,1
30.9,708.0,0,55.0,224.0,0,0
30.4,453.0,1,46.0,268.0,1,1
42.3,837.0,1,34.0,153.0,1,0
63.8,457.0,0,35.0,175.0,1,0
21.2,618.0,1,43.0,266.0,0,0
16.1,580.0,0,21.0,400.0,0,0
55.0,529.0,0,34.0,128.0,1,0
37.8,661.0,0,34.0,251.0,1,0
29.0,695.0,2,43.0,279.0,0,0
39.3,585.0,1,36.0,21.0,1,1
41.2,709.0,0,26.0,231.0,1,0
52.8,606.0,3,21.0,356.0,1,0
19.2,504.0,0,34.0,288.0,0,0
17.4,593.0,0,43.0,409.0,0,0
28.9,553.0,2,43.0,191.0,0,0
15.9,641.0,0,40.0,467.0,1,1
13.6,564.0,0,39.0,385.0,0,1
47.6,593.0,1,43.0,109.0,0,0
36.0,502.0,1,31.0,323.0,0,1
27.9,696.0,1,50.0,403.0,0,0
41.0,568.0,1,21.0,340.0,0,1
17.1,504.0,0,23.0,354.0,0,1
35.3,837.0,0,25.0,378.0,1,0
49.4,473.0,2,53.0,291.0,1,1
53.4,646.0,1,54.0,232.0,1,0
33.4,405.0,2,48.0,264.0,0,1
3.5,628.0,0,48.0,156.0,0,1
25.5,617.0,1,38.0,431.0,1,1
47.2,577.0,2,33.0,245.0,1,1
34.7,477.0,3,49.0,409.0,1,1
54.7,523.0,4,45.0,309.0,0,0
53.9,527.0,0,35.0,405.0,1,0
33.9,494.0,0,45.0,267.0,0,0
23.2,515.0,0,30.0,449.0,1,1
27.6,729.0,2,36.0,292.0,0,0
43.6,635.0,1,46.0,151.0,1,0
56.9,720.0,2,37.0,245.0,1,0
53.2,511.0,1,28.0,390.0,1,1
38.8,561.0,0,30.0,379.0,0,1
26.1,444.0,2,41.0,268.0,1,1
42.8,493.0,0,26.0,109.0,0,0
13.5,574.0,2,21.0,410.0,0,1
32.0,562.0,1,50.0,82.0,1,0
32.5,760.0,1,33.0,221.0,0,0
37.8,610.0,1,30.0,425.0,1,1
17.4,576.0,1,30.0,451.0,0,1
19.4,641.0,2,21.0,237.0,0,1
16.8,602.0,3,34.0,206.0,1,1
33.6,502.0,1,35.0,357.0,0,0
41.2,544.0,0,40.0,468.0,0,0
26.9,726.0,2,22.0,253.0,0,0
23.8,717.0,1,30.0,260.0,0,0
12.5,623.0,1,47.0,285.0,0,1
37.6,692.0,0,34.0,258.0,0,0
51.2,748.0,3,23.0,230.0,0,0
9.1,560.0,3,25.0,251.0,0,1
16.8,617.0,0,29.0,148.0,0,0
29.8,620.0,1,49.0,267.0,1,0
22.1,526.0,1,34.0,80.0,0,0
43.4,640.0,2,35.0,435.0,1,1
64.2,497.0,2,25.0,191.0,1,0
38.6,609.0,0,27.0,412.0,0,0
47.9,576.0,1,56.0,505.0,1,1
29.1,639.0,4,43.0,127.0,1,1
23.2,478.0,1,37.0,315.0,1,0
19.6,553.0,1,51.0,211.0,0,0
44.3,769.0,1,37.0,253.0,0,0
39.1,588.0,0,39.0,225.0,1,0
33.3,606.0,0,36.0,177.0,1,0
37.2,540.0,1,34.0,348.0,1,0
52.4,604.0,1,36.0,156.0,1,0
14.2,634.0,1,50.0,311.0,0,0
61.2,557.0,0,43.0,179.0,1,1
29.6,578.0,1,36.0,572.0,0,1
36.8,585.0,1,45.0,276.0,1,1
32.6,627.0,1,37.0,422.0,0,1
30.3,702.0,1,40.0,231.0,0,1
24.4,540.0,1,35.0,278.0,0,1
25.3,673.0,2,36.0,411.0,0,1
27.0,672.0,2,52.0,129.0,1,0
49.8,623.0,1,33.0,263.0,1,0
32.0,697.0,0,26.0,405.0,1,0
25.7,609.0,2,30.0,358.0,1,1
42.5,610.0,1,33.0,341.0,1,0
42.0,584.0,1,51.0,317.0,0,0
39.3,576.0,1,37.0,366.0,1,0
21.6,581.0,0,31.0,274.0,0,0
46.1,433.0,0,21.0,379.0,1,1
48.3,654.0,0,52.0,208.0,0,0
18.2,571.0,1,21.0,282.0,1,1
32.0,468.0,0,49.0,217.0,0,0
43.1,687.0,0,48.0,204.0,1,0
57.4,512.0,0,29.0,323.0,1,1
38.4,677.0,1,35.0,227.0,0,0
26.0,533.0,0,36.0,477.0,0,0
10.3,686.0,0,37.0,558.0,0,0
52.1,771.0,0,30.0,452.0,1,0
27.5,456.0,3,30.0,407.0,1,1
25.8,577.0,3,36.0,366.0,1,1
40.1,686.0,2,21.0,357.0,0,0
18.4,625.0,1,31.0,135.0,0,0
61.0,625.0,1,42.0,64.0,1,0
31.5,682.0,3,39.0,271.0,0,0
31.4,529.0,2,44.0,267.0,0,1
44.6,485.0,1,28.0,585.0,1,1
10.8,536.0,1,36.0,178.0,0,1
9.3,720.0,0,49.0,584.0,0,1
30.3,531.0,0,40.0,174.0,0,0
48.5,462.0,1,21.0,302.0,1,1
28.9,704.0,0,43.0,105.0,0,0
27.7,554.0,0,32.0,486.0,1,1
28.2,560.0,2,31.0,268.0,0,0
38.8,475.0,0,24.0,135.0,1,1
17.9,648.0,0,29.0,509.0,0,1
55.2,651.0,1,39.0,72.0,1,0
14.0,550.0,1,37.0,388.0,1,1
34.2,493.0,1,47.0,183.0,0,0
32.0,430.0,1,21.0,359.0,0,1
55.1,651.0,1,21.0,401.0,1,0
17.4,834.0,0,44.0,300.0,0,0
41.5,636.0,1,22.0,439.0,1,0
50.8,655.0,0,36.0,283.0,0,0
49.9,613.0,2,53.0,254.0,1,0
29.1,631.0,1,31.0,155.0,0,0
33.7,579.0,1,57.0,79.0,0,0
28.9,626.0,1,46.0,39.0,0,0
51.0,528.0,0,35.0,365.0,0,0
54.8,488.0,1,29.0,237.0,1,0
38.7,610.0,1,40.0,382.0,1,0
30.6,609.0,2,33.0,507.0,0,0
34.1,494.0,1,32.0,413.0,1,1
40.7,550.0,0,44.0,153.0,0,0
18.9,568.0,1,41.0,237.0,1,0
15.9,664.0,1,53.0,233.0,1,0
43.3,614.0,2,34.0,437.0,0,0
72.3,585.0,3,36.0,402.0,1,0
32.9,457.0,1,51.0,206.0,0,0
29.2,624.0,0,42.0,478.0,0,0
34.9,648.0,0,27.0,252.0,0,1
21.2,798.0,2,27.0,196.0,0,0
29.8,640.0,2,28.0,380.0,0,1
40.6,683.0,1,22.0,138.0,1,0
49.4,684.0,1,27.0,433.0,1,0
11.6,437.0,0,33.0,604.0,0,1
22.7,589.0,0,21.0,489.0,0,1
36.9,585.0,0,59.0,275.0,0,0
20.9,559.0,1,33.0,442.0,0,1
25.1,677.0,0,26.0,467.0,1,0
70.6,746.0,1,41.0,352.0,1,0
28.4,517.0,0,45.0,422.0,0,0
21.9,586.0,0,34.0,258.0,0,1
14.6,638.0,2,25.0,292.0,1,1
35.7,530.0,0,53.0,382.0,0,0
50.5,410.0,5,53.0,205.0,1,0
35.5,581.0,3,37.0,430.0,1,1
23.5,501.0,0,26.0,206.0,1,1
39.6,426.0,1,41.0,359.0,1,1
27.5,681.0,1,21.0,229.0,1,1
25.9,747.0,0,51.0,377.0,1,0
38.5,648.0,1,48.0,236.0,1,1
24.2,637.0,0,42.0,296.0,1,0
43.7,639.0,3,27.0,224.0,1,0
49.1,593.0,1,49.0,334.0,1,0
27.4,640.0,0,37.0,213.0,1,1
13.6,588.0,1,34.0,501.0,0,1
44.4,532.0,1,44.0,135.0,0,0
25.9,715.0,0,31.0,278.0,1,0
30.1,667.0,1,38.0,234.0,1,1
43.2,839.0,1,36.0,327.0,1,0
49.0,526.0,1,32.0,312.0,1,0
25.3,470.0,1,21.0,364.0,0,0
32.8,721.0,2,29.0,350.0,0,0
34.0,591.0,1,48.0,174.0,1,1
17.8,722.0,0,32.0,504.0,0,1
43.0,781.0,0,70.0,288.0,0,0
77.3,476.0,1,55.0,232.0,1,0
45.8,523.0,0,36.0,317.0,0,0
42.1,449.0,2,42.0,481.0,1,1
47.3,586.0,0,67.0,203.0,0,0
45.3,535.0,0,35.0,320.0,1,0
23.0,425.0,1,34.0,344.0,0,1
32.9,609.0,1,37.0,136.0,0,0
38.6,715.0,0,40.0,192.0,1,0
17.7,513.0,0,32.0,317.0,0,1
18.6,712.0,0,33.0,248.0,0,0
36.4,663.0,2,52.0,477.0,0,0
8.6,594.0,1,38.0,144.0,0,1
34.3,505.0,0,32.0,283.0,0,0
15.6,558.0,0,42.0,349.0,1,1
5.7,792.0,1,42.0,189.0,0,1
12.4,565.0,1,32.0,252.0,1,1
48.7,651.0,1,32.0,278.0,0,0
25.9,575.0,0,39.0,241.0,0,0
41.3,501.0,0,40.0,442.0,1,1
61.3,662.0,0,53.0,248.0,1,0
54.0,748.0,0,28.0,331.0,1,0
19.1,696.0,2,32.0,228.0,1,0
37.1,745.0,1,42.0,97.0,0,0
29.9,613.0,2,43.0,20.0,0,0
34.9,600.0,1,21.0,340.0,1,0
28.3,647.0,1,40.0,300.0,0,0
59.2,580.0,0,29.0,377.0,1,0
26.7,556.0,2,46.0,300.0,1,1
46.0,457.0,3,30.0,451.0,1,1
39.9,692.0,1,36.0,224.0,1,0
9.1,604.0,2,40.0,429.0,0,1
19.6,456.0,2,41.0,97.0,0,0
42.9,436.0,0,36.0,350.0,1,1
41.6,759.0,1,34.0,192.0,0,0
38.5,697.0,0,28.0,190.0,0,0
49.0,635.0,0,32.0,333.0,1,0
27.8,468.0,1,24.0,87.0,1,1
67.0,576.0,0,53.0,449.0,1,0
30.3,507.0,1,39.0,478.0,0,1
17.4,567.0,1,22.0,379.0,0,1
26.1,580.0,3,44.0,241.0,0,0
53.4,535.0,0,22.0,403.0,1,0
40.1,475.0,1,29.0,20.0,1,0
37.3,666.0,1,38.0,247.0,0,0
56.6,622.0,0,28.0,304.0,1,0
32.2,649.0,1,35.0,332.0,0,0
19.0,702.0,0,43.0,317.0,0,0
29.4,699.0,1,21.0,275.0,0,0
40.7,750.0,0,53.0,170.0,1,1
