income,credit_score,repaid
53.5,811.0,1
87.0,431.0,1
32.7,549.0,0
46.5,667.0,1
59.0,344.0,0
88.1,714.0,1
86.3,374.0,1
42.0,783.0,0
39.8,482.0,1
44.3,682.0,1
18.9,678.0,0
76.4,357.0,1
81.1,379.0,1
40.0,730.0,0
68.0,529.0,1
69.3,530.0,1
45.2,466.0,1
78.5,768.0,1
88.3,387.0,1
86.7,560.0,1
44.8,770.0,1
24.7,421.0,0
72.9,517.0,1
85.6,636.0,1
51.3,546.0,1
32.4,818.0,1
82.8,370.0,1
79.3,408.0,1
49.1,345.0,0
79.6,508.0,1
41.2,321.0,0
12.1,443.0,0
17.5,847.0,0
47.9,384.0,0
31.8,468.0,0
11.2,818.0,1
25.5,581.0,1
72.3,785.0,1
24.7,846.0,1
26.5,562.0,0
82.6,712.0,1
19.2,640.0,0
39.8,308.0,0
19.4,729.0,0
64.6,381.0,1
11.6,400.0,0
77.6,465.0,1
20.9,675.0,1
78.5,328.0,1
56.2,533.0,1
40.9,764.0,1
48.5,684.0,1
41.7,624.0,1
33.8,787.0,1
87.1,485.0,1
43.0,346.0,0
49.8,481.0,1
77.7,446.0,1
16.2,689.0,0
18.2,725.0,0
87.9,580.0,1
64.4,364.0,1
39.2,546.0,0
88.3,781.0,1
50.0,567.0,1
46.4,803.0,1
27.5,842.0,1
54.1,382.0,0
35.2,809.0,1
63.5,365.0,0
30.3,564.0,0
63.7,486.0,1
44.2,807.0,1
39.2,513.0,0
18.7,522.0,0
21.4,819.0,1
39.3,402.0,0
85.6,447.0,1
56.5,571.0,1
20.0,403.0,0
52.9,579.0,1
38.7,379.0,0
18.6,478.0,0
38.1,701.0,1
26.9,564.0,0
74.6,459.0,1
66.7,489.0,1
33.7,434.0,0
72.7,767.0,1
44.4,682.0,1
88.5,349.0,1
72.7,342.0,0
40.1,529.0,0
48.8,489.0,1
48.3,624.0,1
55.6,545.0,1
20.7,457.0,0
27.5,608.0,1
36.4,621.0,0
51.4,563.0,1
23.6,811.0,1
82.3,626.0,1
23.3,708.0,1
76.3,821.0,1
25.0,659.0,0
53.8,761.0,1
22.5,606.0,0
52.6,665.0,1
18.4,456.0,0
60.4,501.0,1
21.9,572.0,0
65.5,512.0,1
21.2,515.0,0
86.3,638.0,1
50.9,403.0,0
31.1,494.0,0
12.4,647.0,0
36.5,403.0,0
85.6,396.0,1
41.8,639.0,1
81.2,372.0,1
15.8,841.0,1
31.2,326.0,0
84.5,346.0,1
39.4,590.0,0
17.6,680.0,0
69.6,389.0,1
70.0,541.0,1
29.5,597.0,0
58.7,445.0,1
86.6,763.0,1
37.6,398.0,0
21.2,797.0,1
80.7,314.0,1
49.0,806.0,1
57.2,656.0,1
68.9,625.0,1
16.9,468.0,0
28.1,319.0,0
67.5,590.0,1
77.0,804.0,1
39.0,663.0,1
50.7,740.0,0
86.3,514.0,1
61.5,731.0,1
88.8,846.0,1
69.9,513.0,1
61.9,651.0,1
42.3,469.0,0
45.1,497.0,0
45.9,339.0,0
44.6,303.0,0
61.6,730.0,1
15.2,337.0,0
22.6,727.0,0
59.1,662.0,1
52.5,742.0,1
32.2,454.0,0
13.5,760.0,0
20.6,669.0,0
87.3,593.0,1
45.4,589.0,1
23.2,624.0,0
16.8,763.0,0
73.4,788.0,1
21.4,642.0,0
46.1,620.0,1
46.1,598.0,0
53.4,578.0,1
89.4,850.0,1
50.0,432.0,1
16.2,722.0,0
66.9,330.0,1
69.8,811.0,1
77.5,709.0,1
10.5,655.0,0
84.2,778.0,1
66.0,615.0,1
64.1,353.0,1
64.9,495.0,1
55.3,812.0,1
49.7,345.0,0
16.5,320.0,0
50.5,847.0,1
65.8,346.0,0
61.3,307.0,0
35.2,311.0,0
46.7,779.0,1
75.4,309.0,1
61.7,730.0,1
82.5,697.0,1
50.0,563.0,0
50.8,566.0,1
31.8,819.0,1
58.9,342.0,0
13.4,325.0,0
54.8,305.0,0
70.9,617.0,1
68.9,517.0,1
53.6,830.0,1
44.0,703.0,1
25.1,439.0,0
39.2,807.0,1
12.7,603.0,0
73.1,543.0,0
84.4,504.0,1
39.0,568.0,1
17.4,640.0,0
60.7,850.0,1
40.8,838.0,1
88.2,631.0,1
66.6,524.0,1
13.1,439.0,0
55.5,849.0,1
43.7,742.0,0
76.4,480.0,1
59.1,552.0,0
11.9,472.0,0
47.6,844.0,1
81.9,608.0,1
54.8,536.0,1
30.1,505.0,0
13.5,665.0,1
72.4,387.0,1
17.6,798.0,0
55.4,603.0,1
86.0,571.0,1
74.8,702.0,1
10.4,806.0,0
47.8,400.0,0
88.3,372.0,1
36.9,796.0,1
64.7,804.0,1
83.0,723.0,1
43.5,563.0,1
27.9,487.0,0
76.9,847.0,1
83.8,374.0,1
48.0,838.0,1
63.7,343.0,1
74.4,849.0,1
11.0,773.0,0
60.2,425.0,1
38.2,799.0,1
55.3,741.0,1
77.3,782.0,1
27.5,831.0,0
13.9,811.0,1
55.5,534.0,1
86.1,570.0,1
28.4,483.0,0
84.8,353.0,0
83.7,556.0,1
76.1,415.0,1
58.1,485.0,1
55.7,752.0,1
60.7,313.0,0
72.7,314.0,1
18.2,772.0,0
69.1,647.0,1
22.2,759.0,1
60.5,553.0,1
45.7,719.0,1
62.9,370.0,1
32.6,789.0,0
21.0,689.0,0
60.7,411.0,0
42.4,576.0,0
64.7,362.0,0
31.4,528.0,0
51.5,752.0,1
77.1,671.0,1
18.5,639.0,0
55.4,749.0,1
79.6,736.0,1
82.5,516.0,1
18.0,678.0,1
40.2,817.0,1
69.9,628.0,1
48.3,778.0,1
76.1,807.0,1
18.7,528.0,0
33.8,472.0,0
11.3,841.0,0
