x,y,true_label
1.4397,2.3913,1
0.8794,2.39,1
1.0147,1.6007,1
-0.4909,4.7203,0
-0.7506,0.5278,2
2.8744,1.1832,1
1.5524,2.8485,0
-0.338,1.4434,1
2.6777,1.5229,1
2.7453,1.2183,1
1.1157,4.6441,0
-3.3417,2.4324,2
-1.9489,0.9366,2
0.604,3.6311,0
3.019,2.9949,0
0.2832,2.8777,2
-0.0795,6.053,0
1.5186,0.8504,1
1.6236,1.456,1
0.1926,3.7828,0
1.4816,0.5401,1
-2.4761,3.6561,2
-2.7259,1.1461,2
-0.6782,0.4522,2
0.0761,2.9135,0
0.6959,4.3543,0
2.0399,1.2389,1
-1.4936,3.609,2
-1.0379,3.313,2
-1.9794,5.0891,2
-2.74,2.2325,2
2.6343,-0.5159,1
0.0325,3.5339,2
-2.3448,2.536,2
1.1263,4.8753,0
2.8939,1.2036,1
2.763,0.4779,1
1.5813,4.6705,0
0.3965,0.4675,1
0.475,1.3035,1
-1.1932,3.0457,2
-0.1873,4.5441,0
0.6686,0.9546,1
-0.4245,2.9763,2
1.8313,4.1676,0
2.0372,4.1419,0
-2.2313,2.8185,2
1.9902,3.3318,0
-0.3397,2.1237,2
-1.9471,1.6427,2
-1.3214,4.892,0
-1.1824,2.8871,2
0.3512,4.1691,0
1.9329,1.9209,1
1.5177,0.6835,1
1.8691,1.6898,1
1.9998,0.8011,1
1.7543,3.6358,0
1.6709,5.0449,0
0.5663,4.3195,0
1.8307,4.3826,0
2.7069,5.6363,0
-1.3513,1.3145,2
-2.1196,2.4551,2
1.7772,-0.6107,1
2.0455,4.589,0
1.6325,4.4199,0
1.4681,0.5458,1
2.0334,0.2334,1
2.4144,-1.5977,1
-1.3475,2.8723,2
2.8274,1.9247,1
-2.252,1.9114,2
-2.3768,3.1322,2
1.7755,0.9853,1
2.1432,1.4223,1
-1.7095,2.819,2
-0.6787,2.677,2
-0.1649,3.4157,2
4.1288,-0.0564,1
1.4472,4.1494,0
-0.4762,4.1123,0
-0.5366,4.0861,2
1.4362,-0.195,1
0.306,3.56,0
0.8997,2.8514,2
